name,meaning,origin,gender,traits,pronunciation
Aarav,Peaceful,Sanskrit,Male,calm and wise,aa-rav
Aanya,Graceful,Sanskrit,Female,creative and thoughtful,aa-nya
Ishaan,Sun/Guardian,Sanskrit,Male,confident and ambitious,ish-aan
Maya,Illusion,Sanskrit,Female,friendly and kind,may-a
Rohan,Ascending,Sanskrit,Male,energetic and curious,ro-han
Anaya,Care,Protection,Sanskrit,Female,kind and compassionate,uh-nah-ya
Kavya,Poetry,Sanskrit,Female,creative and thoughtful,kaav-ya
Vihaan,Dawn,Sanskrit,Male,adventurous and bold,vi-haan
Karan,Helper,Sanskrit,Male,practical and hardworking,ka-ran
Sana,Brilliant,Arabic,Female,confident and bright,saa-na
Neil,Champion,Irish,Male,strong and reliable,neel
Aria,Melody,Hebrew,Female,musical and calm,aa-ree-ya
Zoya,Life,Slavic,Female,vibrant and playful,zoi-ya
Asha,Hope,Sanskrit,Female,optimistic and warm,aa-sha
Riya,Singer,Sanskrit,Female,graceful and charming,ree-ya
Sahil,Guide,Arabic,Male,steady and calm,sa-hil
Nisha,Night,Sanskrit,Female,quiet and thoughtful,ni-sha
Aditya,Sun,Sanskrit,Male,bright and confident,aa-dit-ya
Priya,Beloved,Sanskrit,Female,loving and kind,pree-ya
Kabir,Great,Arabic,Male,wise and honest,ka-beer
Tara,Star,Sanskrit,Female,bright and ambitious,taa-ra
Dev,God,Sanskrit,Male,spiritual and calm,dev
Mira,Admirable,Latin,Female,peaceful and creative,mee-ra
Ira,Watchful,Sanskrit,Female,calm and thoughtful,ee-ra
Samir,Breeze,Arabic,Male,cheerful and lively,sa-meer
Leela,Play,Sanskrit,Female,playful and artistic,lee-la
Om,Primordial Sound,Sanskrit,Male,spiritual and serene,om
Rhea,Flow,Greek,Female,graceful and free,rhee-a
Aryan,Noble,Sanskrit,Male,noble and strong,ar-yan
Aadvika,Unique,Sanskrit,Female,strong and confident,aa-dvi-ka
Abeer,Fragrance,Arabic,Male,calm and joyful,a-beer
Aditi,Boundless,Sanskrit,Female,kind-hearted and nurturing,aa-di-ti
Aksh,Immortal,Sanskrit,Male,strong and thoughtful,ak-sh
Anvi,Goddess of Forest,Sanskrit,Female,friendly and calm,an-vee
Aarohi,Ascending,Sanskrit,Female,artistic and creative,aa-ro-hi
Aayush,Long Life,Sanskrit,Male,energetic and lively,aa-yush
Aheli,Sun Ray,Bengali,Female,bright and cheerful,a-he-li
Ainesh,Sun's Glory,Sanskrit,Male,confident and honest,ai-nesh
Akira,Grace,Japanese,Female,creative and peaceful,a-kee-ra
Alisha,Noble Truth,Sanskrit,Female,gentle and kind,a-li-sha
Amaira,Beautiful,Farsi,Female,vibrant and soft,a-mai-ra
Amay,Boundless,Sanskrit,Male,calm and wise,a-may
Anaira,Meaningful,Sanskrit,Female,strong and graceful,a-nai-ra
Anik,Warrior,Sanskrit,Male,courageous and bold,a-nik
Arnav,Ocean,Sanskrit,Male,strong and deep,ar-nav
Arush,First Ray,Sanskrit,Male,bright and energetic,a-roosh
Aryahi,Heavenly,Sanskrit,Female,friendly and calm,ar-ya-hi
Atharv,Knowledge,Vedic,Male,wise and strong,a-tharv
Avira,Brave,Sanskrit,Female,confident and bold,a-vee-ra
Bhavin,Winner,Sanskrit,Male,ambitious and proud,bha-vin
Chirag,Lamp,Sanskrit,Male,bright and lively,chi-rag
Daksh,Skillful,Sanskrit,Male,intelligent and focused,dak-sh
Darsha,Sight,Sanskrit,Female,thoughtful and wise,dar-sha
yuvraj,Young King,Sanskrit,Male,leader and brave,yu-vraj
neelam,Blue Gem,Sanskrit,Female,calm and precious,nee-lam
reva,One who moves,Sanskrit/French,Female,flowing and creative,reh-va
samarth,Powerful,Sanskrit,Male,capable and strong,sa-mar-th
nivaan,Heavenly,Sanskrit/Male,pure and noble,ni-vaan
navya,Young,New,Sanskrit,Female,fresh and modern,nav-ya
pranav,Primordial Sound,Sanskrit,Male,spiritual and wise,pra-nav
shreya,Fame,Sanskrit/Female,graceful and fortunate,shrey-a
ishita,Desired,Sanskrit,Female,ambitious and strong,ish-ee-ta
karishma,Miracle,Sanskrit/Female,magical and bright,ka-rish-ma
rutik,Seasonal,Sanskrit/Male,energetic and lively,ru-tik
jalaj,Born of water,Sanskrit/Male,calm and deep,ja-laj
kaira,Peaceful,Irish/Female,calm and joyful,kai-ra
pranay,Breath of life,Sanskrit/Male,calm and loving,pra-nay
tanay,Son,Sanskrit/Male,affectionate and caring,ta-nay
isha,One who protects,Sanskrit/Female,divine and kind,ee-sha
vanya,Gracious,Sanskrit/Female,free and gentle,va-nya
paarth,King,Archer,Sanskrit/Male,brave and noble,paarth
mithra,Friend,Sanskrit/Male,loyal and kind,mith-ra
kiaan,Grace of God,Modern/Male,bright and gentle,ki-aan
sanaya,Distinguished,Sanskrit/Female,unique and poised,sa-na-ya
darshan,Vision,Sanskrit/Male,insightful and calm,dar-shan
ishani,Goddess Durga,Sanskrit/Female,strength and grace,ish-aa-ni
tanmay,Absorbed,Sanskrit/Male,focused and thoughtful,tan-may
vidhi,Fate,Sanskrit/Female,structured and wise,vi-dhi
jasleen,Absorbed in singing,Sikh/Female,musical and kind,jas-leen
chirantan,Immortal,Sanskrit/Male,steady and strong,chi-ran-tan
ekta,Unity,Hindi/Female,cohesive and kind,ek-ta
gaurav,Pride,Sanskrit/Male,respectful and proud,gau-rav
himanshu,Snow Moon,Sanskrit/Male,cool and calm,hi-man-shu
ishwar,God,Sanskrit/Male,spiritual and steady,ish-war
juhi,Jasmine,Indian/Female,fragrant and delicate,ju-hi
krupa,Grace,Sanskrit/Female,compassionate and gentle,kru-pa
lokesh,King of world,Sanskrit/Male,leader and fair,lo-kesh
manas,Mind,Sanskrit/Male,thoughtful and wise,ma-nas
naina,Eyes,Sanskrit/Female,observant and soft,nai-na
oshin,Gentle,Friendly,Modern/Female,cheerful and kind,o-shin
parthiv,Earthly,Sanskrit/Male,strong and grounded,par-thiv
qasim,Distributor,Arabic/Male,generous and calm,qa-sim
riddhi,Prosperity,Sanskrit/Female,fortunate and bright,rid-dhi
sachin,Pure,Legendary,Male,pure and skillful,sa-chin
trisha,Desire,Sanskrit/Female,wanting and spirited,tri-sha
uttam,Best,Sanskrit/Male,excellent and noble,ut-tam
vairaj,Brave Leader,Sanskrit/Male,valiant and proud,vai-raj
waseem,Handsome,Arabic/Male,graceful and calm,wa-seem
yash,Victory,Sanskrit/Male,famous and successful,yash
zarina,Golden,Farsi/Female,golden and rare,za-ree-na
abhinav,New,Sanskrit/Male,innovative and fresh,ab-hi-nav
bijal,Lightning,Gujarati/Female,bright and striking,bi-jal
chetan,Conscious,Sanskrit/Male,aware and energetic,che-tan
devanshi,Divine,Female,holy and kind,dev-an-shi
esha,Desire,Hindu/Female,powerful and divine,e-sha
farhan,Happy,Arabic/Male,joyful and bright,far-han
gevind,Protector,Sanskrit-influenced,Male,strong and kind,ge-vind
harini,Deer,Sanskrit/Female,graceful and gentle,ha-ri-ni
imaya,Sacred gift,Sanskrit/Female,precious and sweet,i-ma-ya
jayan,Victorious,Sanskrit/Male,successful and bold,ja-yan
kavish,Poet,Sanskrit/Male,creative and deep,ka-vish
laila,Night Beauty,Arabic/Female,beautiful and calm,lay-la
mohit,Attracted,Sanskrit/Male,charming and loving,mo-hit
nivedita,Dedicated,Sanskrit/Female,devoted and wise,ni-ve-di-ta
omkar,Sound of Om,Sanskrit/Male,spiritual and deep,om-kar
pritha,Belle,Sanskrit/Female,graceful and beloved,pri-tha
qamar,Moon,Arabic/Male,calm and luminous,qa-mar
riyaz,Practice,Arabic/Sanskrit,Male,disciplined and skilled,ri-yaz
saumya,Soft-hearted,Sanskrit/Female,calm and gentle,sau-mya
tharun,Young Sun,Sanskrit/Male,bright and energetic,tha-run
ushna,Warmth,Sanskrit/Female,warm and friendly,ush-na
vibha,Radiance,Sanskrit/Female,bright and elegant,vi-bha
widad,Love,Arabic/Female,affectionate and kind,wi-dad
xavier,Bright,Saint's name,European/Male,bright and noble,ex-avier
yamini,Night,Sanskrit/Female,calm and mysterious,ya-mi-ni
zubin,Strong Spear,Persian/Male,brave and sharp,zu-bin
abhay,Fearless,Sanskrit,Male,brave and calm,ab-hay
adya,First Power,Sanskrit,Female,strong and radiant,ad-ya
anushka,Graceful,Sanskrit,Female,loving and bright,a-nush-ka
arav,Peaceful,Sanskrit,Male,calm and wise,a-rav
bhumika,Of the earth,Sanskrit,Female,grounded and kind,bhu-mi-ka
chiranjeevi,Immortal,Sanskrit,Male,long living and steady,chi-ran-jee-vi
daksha,Capable,Sanskrit,Male,skilled and precise,dak-sha
eka,One,Sanskrit,Female,unique and simple,e-ka
farida,Precious,Arabic/Female,rare and gentle,fa-ri-da
govind,Protector,Sanskrit/Male,caring and strong,go-vind
harsha,Happiness,Sanskrit/Male,cheerful and lively,har-sha
ishaana,Goddess,Sanskrit/Female,divine and calm,is-ha-na
jaidev,God of victory,Sanskrit/Male,victorious and just,jai-dev
kamya,Desirable,Sanskrit/Female,ambitious and graceful,kam-ya
lalit,Beautiful,Sanskrit,Male,graceful and artistic,la-lit
manjari,Blossom,Sanskrit/Female,delicate and bright,man-ja-ri
neeraj,Lotus,Sanskrit/Male,pure and steady,nee-raj
oriana,Golden dawn,Latin/Female,bright and rare,o-ri-a-na
priyanka,Beloved,Sanskrit/Female,loving and charming,pri-yan-ka
ramesh,Ruler of Rama,Sanskrit/Male,devoted and kind,ra-mesh
saanjh,Evening,Hindi/Female,calm and serene,saanjh
tanya,Fairy queen,Russian/Female,graceful and smart,tan-ya
uparaj,Deputy king,Sanskrit/Male,responsible and strong,uu-pa-raj
vishal,Huge,Sanskrit/Male,strong and broad,vi-shal
wasfia,Promise,Arabic/Female,steadfast and kind,was-fi-a
xena,Guest,Hellenic/Female,brave and noble,xee-na
yam,God of death,Hindu/Male,mysterious and wise,yam
zeeshan,Dignified,Arabic/Male,noble and calm,zee-shan
anush,Immortal,Sanskrit/Male,steady and creative,a-nush
bina,Musical instrument,Sanskrit/Female,musical and gentle,bi-na
cyrus,Sunlike,Persian/Male,royal and bright,cy-rus
darpan,Mirror,Sanskrit/Male,reflective and clear,dar-pan
eesha,Pure,Sanskrit/Female,divine and calm,ee-sha
firoz,Victorious,Persian/Male,strong and victorious,fi-roz
gitanjali,Song offering,Sanskrit/Female,poetic and soulful,gi-tan-ja-li
hikmat,Wisdom,Arabic/Male,wise and steady,hi-kmat
ish,Short for Ishaan,Sanskrit/Male,short and strong,ish
jahnavi,Ganga river,Sanskrit/Female,pure and flowing,jah-na-vi
kailash,Abode of Shiva,Sanskrit/Male,holy and high,kai-lash
lavanya,Grace,Sanskrit/Female,elegant and charming,la-van-ya
moksha,Freedom,Sanskrit/Female,liberated and peaceful,mok-sha
naman,Salutation,Sanskrit/Male,respectful and calm,na-man
oindrila,Thunder goddess,Bengali/Female,strong and fierce,oin-dri-la
priyansh,Beloved part,Sanskrit/Male,loving and kind,pri-yansh
qamarina,Full moon,Farsi/Female,glowing and rare,qa-ma-ri-na
ruchika,Pleasant,Sanskrit/Female,pleasant and warm,ru-chi-ka
samarjeet,Warrior winner,Sanskrit/Male,valiant and victorious,sa-mar-jeet
tavish,Courageous,Scottish/Male,brave and daring,ta-vish
uday,Rise,Sanskrit/Male,ascendant and bright,u-day
vansh,Lineage,Sanskrit/Male,heritage and proud,van-sh
weta,Tribute,Sanskrit/Female,respectful and kind,we-ta
xandria,Defender,Greek/Female,protector and bold,zan-dria
yogita,Yogi,Sanskrit/Female,disciplined and calm,yo-gi-ta
zainab,Fragrant flower,Arabic/Female,beautiful and noble,zai-nab
amitabh,Boundless lustre,Sanskrit/Male,illustrious and great,a-mi-tabh
brijesh,Lord of Brij,Sanskrit/Male,devoted and kind,bri-jesh
chinmay,Full of knowledge,Sanskrit/Male,learned and warm,chin-may
deepa,Light,Sanskrit/Female,bright and guiding,dee-pa
ekansh,Complete,Sanskrit/Male,whole and steady,e-kan-sh
faridaa,Unique,Arabic/Female,distinct and lovely,fa-ri-daa
girish,Lord of mountains,Sanskrit/Male,strong and serene,gi-rish
himani,Snowy,Sanskrit/Female,cool and elegant,hi-ma-ni
ishaaya,Blessing,Sanskrit/Female,graceful and kind,ish-aa-ya
jayesh,Victorious,Sanskrit/Male,successful and bright,ja-yesh
kriti,Creation,Sanskrit/Female,creative and lively,kri-ti
laya,Rhythm,Sanskrit/Female,musical and flowing,la-ya
manvi,Human,Sanskrit/Female,empathetic and warm,man-vi
nayan,Eyes,Sanskrit/Male,observant and clear,nay-an
omisha,Goddess of birth,Sanskrit/Female,protective and bright,o-mish-a
pratham,First,Sanskrit/Male,original and leading,pra-tham

